child,session,phase,idkptm_set1,idkptm_set2,correct,sum,slack,digitization_confidence,correction_note
Aden,29,Intervention,3,,2,5,0,original,
Aden,30,Intervention,2,,3,5,0,original,
Aden,31,Intervention,2,,2,4,1,original,
Aden,32,Intervention,4,,1,5,0,original,
Aden,33,Intervention,2,,3,5,0,original,
Aden,34,Intervention,2,,3,5,0,original,
Aden,35,Intervention,2,,3,5,0,original,
Aden,36,Intervention,1,,4,5,0,original,
Aden,37,Intervention,1,,4,5,0,original,
Aden,38,Intervention,1,,4,5,0,original,
Aden,39,Intervention,0,,5,5,0,original,
Ida,1,BL,0,,0,0,,original,
Ida,2,BL,0,,0,0,,original,
Ida,3,BL,0,,0,0,,original,
Ida,4,BL,0,,0,0,,original,
Ida,5,BL,0,,1,1,,original,
Ida,6,BL,0,,0,0,,original,
Ida,7,BL,0,,0,0,,original,
Ida,8,BL,0,,1,1,,original,
Ida,9,BL,,,0,0,,original,
Ida,10,Teaching,,,0,0,,original,
Ida,11,Teaching,,,0,0,,original,
Ida,12,Intervention,0,,1,1,4,original,
Ida,13,Intervention,0,,1,1,4,original,
Ida,14,Intervention,1,,2,3,2,original,
Ida,15,Intervention,1,,3,4,1,original,
Ida,16,Intervention,2,,2,4,1,original,
Ida,17,Intervention,1,,4,5,0,original,
Ida,18,Intervention,1,,3,4,1,original,
Ida,19,Intervention,,3,2,5,0,original,
Ida,20,Intervention,2,,3,5,0,original,
Ida,21,Intervention,2,,3,5,0,original,
Ida,22,Intervention,2,,3,5,0,original,
Ida,23,Intervention,1,,3,4,1,original,
Ida,24,Intervention,0,,4,4,1,original,
Ida,25,Intervention,0,,5,5,0,original,
Ida,26,Intervention,0,,5,5,0,original,
